anime_id,japanese_title,aired,image_url
6945,ジャンプアニメツアー 2008 白夜叉降誕,"Sep 21, 2008",https://cdn.myanimelist.net/images/anime/6/16161.jpg
16664,かぐや姫の物語,"Nov 23, 2013",https://cdn.myanimelist.net/images/anime/1935/93606.jpg
1604,家庭教師ヒットマンREBORN!,"Oct 7, 2006 to Sep 25, 2010",https://cdn.myanimelist.net/images/anime/13/80000.jpg
2966,狼と香辛料,"Jan 9, 2008 to Mar 26, 2008",https://cdn.myanimelist.net/images/anime/5/59401.jpg
1142,ハチミツとクローバー II,"Jun 30, 2006 to Sep 15, 2006",https://cdn.myanimelist.net/images/anime/6/11040.jpg
22145,黒執事 Book of Circus,"Jul 11, 2014 to Sep 12, 2014",https://cdn.myanimelist.net/images/anime/6/64811.jpg
31964,僕のヒーローアカデミア,"Apr 3, 2016 to Jun 26, 2016",https://cdn.myanimelist.net/images/anime/10/78745.jpg
6811,犬夜叉 完結編,"Oct 4, 2009 to Mar 30, 2010",https://cdn.myanimelist.net/images/anime/7/75570.jpg
19363,銀の匙,"Jan 10, 2014 to Mar 28, 2014",https://cdn.myanimelist.net/images/anime/8/57995.jpg
9890,メジャー・メッセージ,"Dec 17, 2010",https://cdn.myanimelist.net/images/anime/11/75219.jpg
18195,リトルバスターズ！～Refrain～,"Oct 5, 2013 to Dec 28, 2013",https://cdn.myanimelist.net/images/anime/10/55049.jpg
16782,言の葉の庭,"May 31, 2013",https://cdn.myanimelist.net/images/anime/1597/112995.jpg
7674,バクマン。,"Oct 2, 2010 to Apr 2, 2011",https://cdn.myanimelist.net/images/anime/6/26138.jpg
9863,スケットダンス,"Apr 7, 2011 to Sep 27, 2012",https://cdn.myanimelist.net/images/anime/9/73974.jpg
9130,聖闘士星矢 THE LOST CANVAS 冥王神話 2,"Feb 23, 2011 to Jul 20, 2011",https://cdn.myanimelist.net/images/anime/12/29597.jpg
3226,メジャー　（第4シリーズ),"Jan 5, 2008 to Jun 28, 2008",https://cdn.myanimelist.net/images/anime/9/75217.jpg
11843,男子高校生の日常,"Jan 10, 2012 to Mar 27, 2012",https://cdn.myanimelist.net/images/anime/3/33257.jpg
21557,思い出のマーニー,"Jul 19, 2014",https://cdn.myanimelist.net/images/anime/7/64293.jpg
28675,劇場版 境界の彼方 I'LL BE HERE 未来篇,"Apr 25, 2015",https://cdn.myanimelist.net/images/anime/9/72614.jpg
31715,WORKING!!! 第14話「ロード・オブ・ザ・小鳥遊」,"Mar 30, 2016",https://cdn.myanimelist.net/images/anime/10/79375.jpg
43,GHOST IN THE SHELL（攻殻機動隊）,"Nov 18, 1995",https://cdn.myanimelist.net/images/anime/10/82594.jpg
10153,魔法少女リリカルなのは The MOVIE 2nd A's,"Jul 14, 2012",https://cdn.myanimelist.net/images/anime/1511/94432.jpg
3091,×××HOLiC◆継,"Apr 4, 2008 to Jun 27, 2008",https://cdn.myanimelist.net/images/anime/9/8626.jpg
31051,黒子のバスケ〜最高のプレゼントです〜,"Dec 24, 2015",https://cdn.myanimelist.net/images/anime/13/77323.jpg
9617,映画 けいおん！,"Dec 3, 2011",https://cdn.myanimelist.net/images/anime/5/76233.jpg
32188,シュタインズ・ゲート境界面上のミッシングリンク-Divide By Zero-,"Dec 3, 2015",https://cdn.myanimelist.net/images/anime/7/77324.jpg
1033,千年女優,"Sep 14, 2002",https://cdn.myanimelist.net/images/anime/1648/93626.jpg
12115,ベルセルク 黄金時代篇Ⅲ 降臨,"Feb 1, 2013",https://cdn.myanimelist.net/images/anime/12/41305.jpg
121,鋼の錬金術師,"Oct 4, 2003 to Oct 2, 2004",https://cdn.myanimelist.net/images/anime/10/75815.jpg
3002,逆境無頼カイジ Ultimate Survivor,"Oct 3, 2007 to Apr 2, 2008",https://cdn.myanimelist.net/images/anime/12/80032.jpg
28223,デス・パレード,"Jan 10, 2015 to Mar 28, 2015",https://cdn.myanimelist.net/images/anime/5/71553.jpg
10800,ちはやふる,"Oct 5, 2011 to Mar 28, 2012",https://cdn.myanimelist.net/images/anime/3/35749.jpg
6675,REDLINE,"Aug 14, 2009",https://cdn.myanimelist.net/images/anime/12/28553.jpg
28725,心が叫びたがってるんだ。,"Sep 19, 2015",https://cdn.myanimelist.net/images/anime/1245/112628.jpg
32005,劇場版　名探偵コナン　純黒の悪夢（ナイトメア）,"Apr 16, 2016",https://cdn.myanimelist.net/images/anime/10/78894.jpg
138,HUNTER×HUNTER Greed Island,"Feb 5, 2003 to Apr 16, 2003",https://cdn.myanimelist.net/images/anime/1902/122320.jpg
27821,Fate/stay night [Unlimited Blade Works] プロローグ,"Oct 5, 2014",https://cdn.myanimelist.net/images/anime/9/67425.jpg
813,ドラゴンボールZ,"Apr 26, 1989 to Jan 31, 1996",https://cdn.myanimelist.net/images/anime/1607/117271.jpg
16067,凪のあすから,"Oct 3, 2013 to Apr 3, 2014",https://cdn.myanimelist.net/images/anime/7/53549.jpg
585,耳をすませば,"Jul 15, 1995",https://cdn.myanimelist.net/images/anime/1899/109259.jpg
30,新世紀エヴァンゲリオン,"Oct 4, 1995 to Mar 27, 1996",https://cdn.myanimelist.net/images/anime/1314/108941.jpg
31490,ONE PIECE FILM GOLD,"Jul 23, 2016",https://cdn.myanimelist.net/images/anime/12/81081.jpg
6864,×××HOLiC 籠,"Apr 23, 2010 to Mar 9, 2011",https://cdn.myanimelist.net/images/anime/9/25080.jpg
759,東京ゴッドファーザーズ,"Nov 8, 2003",https://cdn.myanimelist.net/images/anime/1480/132791.jpg
